name,email,city,country,zip,signup_date,age,value
Zoë Lindqvist,zoe.lindqvist0@example.net,Brightwater,Uruguay,78361,2022-07-26,66,282.26
Théo Moreau,  theo.moreau1@example.net ,Silver Falls,Canada,61713,2023-06-13,42,8091.09
Ingrid Novak,ingrid.novak2@example.net,Coldspring,Japan,89359,2023-11-19,46,2667.75
Tomás Silva,tomas.silva3@example.net,Ironwood,Denaark,37181,2022-04-02,47,2394.54
Piotr Yilmaz,piotr.yilmaz4@example.net,Málaga,  Portugal ,91886,2022-03-01,18,2914.57
Hugo Yilmaz,hugo.yilmaz5@example.net,Brightwater,Uruguay,38583,2023-06-23,78,3151.56
Noor Haddad,noor.haddad6@example.net,Ironwood,Denmark,25838,2023-09-05,77,€9641.19
Aurora Dupont,aurora.dupont7@example.net,Silver Falls,Uruguay,79570,2022-10-13,65,"2,881.58"
Mikael Marchetti,mikael.marchetti8@example.net,New Harbor,Canada,13840,2023-02-10,75,7744.81
Aurora Andersen,aurora.andersen9@example.net,Málaga,Norway,50310,2022-12-20,54,495.55
Lucia Weiss,lucia.weiss10@example.net,New Harbor,Uruguay,22721,2021-03-21,64,2834.89
Renée Costa,renee.costa11@example.net,(Ironwood),Portugal,88966,2021-05-08,76,457.94
Tomás Moreau,tomas.moreau12@example.net,Brightwater,Finland,31508,2022-07-16,58,6562.27
Hugo Haddad,hugo.haddad13@example.net,Quarrytown,Norway,41538,2021-12-23,19,9283.75
Mikael Fernández,mikael.fernandez14@example.net,Silver Falls,Finland,37359,2023-06-24,68,8189.51
Amara Delacroix,amara.delacroix15@example.net,Quarrytown,Denmark,72301,30/08/2022,90,4508.33
Amara Haddad,amara.haddad16@example.net,Silver Falls,Finland,81976,2021-08-01,18,4164.36
Óscar Costa,oscar.costa17@example.net,Ironwood,Japan,84007,2023-06-13,26,6113.97
Chloé Dupont,chloe.dupont18@example.net,Silver Falls,Uruguay,61716,2023-05-15,,1580.83
José Ivanov,jose.ivanov19@example.net,Ironwood,Uruguay,08095,2023-09-06,21,1939.10
Tomás Ramírez,tomas.ramirez20@example.net,Quarrytown,Norway,91044,2023-07-01,29,8771.63
Noor Novak,noor.novak21@example.net,Brightwater,Mexico,62505,2021-11-28,56,8838.63
Björn Okafor,bjorn.okafor22@example.net,New Harbor,Mexico,76134,2021-10-08,25,3249.30
